NORAD_ID,Name,Distance_km,XRay_Jm2,Neutron_nm2,Gamma_radsSi,Effects_List,Prompt_Status,Corrected_Argus_krad,Inclination_deg,Mean_Alt_km,Constellation
45671,STARLINK-1454,5534.416138774087,0.0,0.0,0.0,['NOMINAL'],Nominal,370853.9986567712,53.0488,393.90837452103216,STARLINK (LEO)
45673,STARLINK-1456,4751.619551041972,0.0,0.0,0.0,['NOMINAL'],Nominal,368376.01575005834,53.0509,402.68459968486366,STARLINK (LEO)
45674,STARLINK-1457,12603.929163833016,0.0,0.0,0.0,['NOMINAL'],Nominal,342583.5179273705,53.04610000000001,264.9429219384856,STARLINK (LEO)
45675,STARLINK-1458,4826.420446392624,0.0,0.0,0.0,['NOMINAL'],Nominal,370218.5091621324,53.0532,421.6164229992533,STARLINK (LEO)
45676,STARLINK-1460,4854.261524994225,0.0,0.0,0.0,['NOMINAL'],Nominal,369811.5489023848,53.1609,480.8053877815159,STARLINK (LEO)
45677,STARLINK-1392,10732.07106808298,0.0,0.0,0.0,['NOMINAL'],Nominal,375338.4489061789,53.1573,483.3875901691467,STARLINK (LEO)
45679,STARLINK-1394,6514.845189491288,0.0,0.0,0.0,['NOMINAL'],Nominal,370952.9983179441,53.0486,404.2245872657278,STARLINK (LEO)
45685,STARLINK-1402,10775.763868943111,0.0,0.0,0.0,['NOMINAL'],Nominal,371660.4986334945,53.0473,419.289327409977,STARLINK (LEO)
45686,STARLINK-1404,12116.461909005224,0.0,0.0,0.0,['NOMINAL'],Nominal,374294.35232127295,53.1605,469.7175897372016,STARLINK (LEO)
45689,STARLINK-1413,12904.139867167632,0.0,0.0,0.0,['NOMINAL'],Nominal,368819.45779223484,53.161,480.5664938681813,STARLINK (LEO)
45693,STARLINK-1417,7283.545605080322,0.0,0.0,0.0,['NOMINAL'],Nominal,375566.71229533845,53.0522,525.5427593151708,STARLINK (LEO)
45695,STARLINK-1420,12714.548285950004,0.0,0.0,0.0,['NOMINAL'],Nominal,368485.9980687977,53.0518,388.85065091022113,STARLINK (LEO)
45696,STARLINK-1422,9688.690357587067,0.0,0.0,0.0,['NOMINAL'],Nominal,371242.74619685696,53.15970000000001,481.9659538921169,STARLINK (LEO)
45697,STARLINK-1351,11741.955184449153,0.0,0.0,0.0,['NOMINAL'],Nominal,367056.5959402354,53.0524,372.9239852216159,STARLINK (LEO)
45699,STARLINK-1398,,,,,['NOMINAL'],Nominal,,53.0291,,STARLINK (LEO)
45700,STARLINK-1400,7898.496389675311,0.0,0.0,0.0,['NOMINAL'],Nominal,370655.38889723027,53.0501,392.2893583653904,STARLINK (LEO)
45701,STARLINK-1403,12385.053369398005,0.0,0.0,0.0,['NOMINAL'],Nominal,369923.07030065195,53.1552,484.80238338366024,STARLINK (LEO)
45703,STARLINK-1407,4324.586980114993,0.0,11.97729497434261,1.8714523397410328e-09,['NOMINAL'],Nominal,369907.832692904,53.0326,364.78058038263003,STARLINK (LEO)
45706,STARLINK-1411,13472.68420287838,0.0,0.0,0.0,['NOMINAL'],Nominal,371065.77418189176,53.0428,341.12930649981877,STARLINK (LEO)
45710,STARLINK-1423,11061.437234959532,0.0,0.0,0.0,['NOMINAL'],Nominal,368506.5818038138,53.0491,376.0061106906586,STARLINK (LEO)
45711,STARLINK-1433,9648.577323218198,0.0,0.0,0.0,['NOMINAL'],Nominal,372525.6200528906,53.0495,389.3302688346257,STARLINK (LEO)
45712,STARLINK-1434,13153.733634767055,0.0,0.0,0.0,['NOMINAL'],Nominal,374154.17975581595,53.0535,480.6920415206324,STARLINK (LEO)
45731,STARLINK-1465,7701.172359030276,0.0,0.0,0.0,['NOMINAL'],Nominal,367842.1223959166,53.051,403.9161159880189,STARLINK (LEO)
45735,STARLINK-1471,3267.980245914897,30.150674095676187,20.974381979600825,3.2772471843126292e-09,"['X-RAY:SGEMP_FATAL', 'X-RAY:IONIZ_UPSET']",Fatal/Destroyed,371266.95471859776,53.0459,415.39780923028064,STARLINK (LEO)
45738,STARLINK-1474,,,,,['NOMINAL'],Nominal,,53.0073,,STARLINK (LEO)
45741,STARLINK-1480,11559.624577482766,0.0,0.0,0.0,['NOMINAL'],Nominal,371692.793249711,53.0536,359.3444500968519,STARLINK (LEO)
45744,STARLINK-1500,11901.330779010821,0.0,0.0,0.0,['NOMINAL'],Nominal,370263.9176883574,53.0349,458.28293563895545,STARLINK (LEO)
45746,STARLINK-1504,4947.398066848295,0.0,0.0,0.0,['NOMINAL'],Nominal,367318.62188059767,53.0219,400.36821475696985,STARLINK (LEO)
45747,STARLINK-1506,11683.429069898546,0.0,0.0,0.0,['NOMINAL'],Nominal,376044.79442141706,53.0769,489.9504760786246,STARLINK (LEO)
45751,STARLINK-1464,6408.92494268528,0.0,0.0,0.0,['NOMINAL'],Nominal,369819.1716343656,53.0503,427.0247310028691,STARLINK (LEO)
45754,STARLINK-1477,11328.047786934369,0.0,0.0,0.0,['NOMINAL'],Nominal,374130.59997326205,53.0501,523.4929623972045,STARLINK (LEO)
45755,STARLINK-1478,7655.147068869568,0.0,0.0,0.0,['NOMINAL'],Nominal,367661.59715068835,53.0482,386.5672230057934,STARLINK (LEO)
